path,category,size,lines,words,has_frontmatter,frontmatter_keys
.smart-env/multi/characters_antagonists_LYSANDRA_md.ajson,smart-env,12959,9,138,False,
.smart-env/multi/characters_antagonists_meridian-nightwhisper_md.ajson,smart-env,338779,70,2025,False,
.smart-env/multi/characters_antagonists_SER-CORVIN-ASHFORD_md.ajson,smart-env,16751,7,116,False,
.smart-env/multi/characters_antagonists_SERAPHINE-MOROZ_md.ajson,smart-env,228648,55,1453,False,
.smart-env/multi/characters_antagonists_virion-possessed_md.ajson,smart-env,290566,61,1711,False,
.smart-env/multi/characters_ARTIFICER_md.ajson,smart-env,14617,3,36,False,
.smart-env/multi/characters_BLOODHEART_md.ajson,smart-env,132234,66,1833,False,
.smart-env/multi/characters_CASPIAN-INTEGRATION-GUIDE_md.ajson,smart-env,212937,41,2182,False,
.smart-env/multi/characters_CASPIAN-VANE-THE-ERASURE_md.ajson,smart-env,286564,58,3005,False,
.smart-env/multi/characters_CHARACTER-BIBLE_md.ajson,smart-env,372791,76,2787,False,
.smart-env/multi/characters_CHARACTER-DYNAMICS_md.ajson,smart-env,71509,15,498,False,
.smart-env/multi/characters_Character-Example_md.ajson,smart-env,1531,4,14,False,
.smart-env/multi/characters_CHARACTER-INDEX_md.ajson,smart-env,295221,231,4794,False,
.smart-env/multi/characters_CHARACTER-MASTER-INDEX_md.ajson,smart-env,144039,36,699,False,
.smart-env/multi/characters_CHARACTER-VOICE-BANK_md.ajson,smart-env,295563,120,4614,False,
.smart-env/multi/characters_character-world-integration_character-system-navigation_md.ajson,smart-env,226894,44,1207,False,
.smart-env/multi/characters_CLONE-MASTER_md.ajson,smart-env,128936,33,873,False,
.smart-env/multi/characters_CORVIN-INTEGRATION-GUIDE_md.ajson,smart-env,223482,43,2591,False,
.smart-env/multi/characters_CORVIN-THE-HOLLOW-KNIGHT_md.ajson,smart-env,222201,43,2309,False,
.smart-env/multi/characters_duplicates-archive_main_AISEN-CHARACTER-ENHANCEMENT_md.ajson,smart-env,107008,24,1005,False,
.smart-env/multi/characters_duplicates-archive_main_AISEN_md.ajson,smart-env,100338,21,270,False,
.smart-env/multi/characters_ELARA-PROFILE-POLITICAL-LEADER_md.ajson,smart-env,161385,39,1092,False,
.smart-env/multi/characters_family_MIRA_md.ajson,smart-env,16891,9,78,False,
.smart-env/multi/characters_family_TAVERN-KEEPER-FATHER_md.ajson,smart-env,12677,9,60,False,
.smart-env/multi/characters_HENDRICK-PROFILE-EXPANDED_md.ajson,smart-env,173377,50,1543,False,
.smart-env/multi/characters_HYDROMANCER_md.ajson,smart-env,162741,45,1329,False,
.smart-env/multi/characters_KAEL-INTEGRATION-GUIDE_md.ajson,smart-env,284681,55,3086,False,
.smart-env/multi/characters_KAEL-THE-BEAST-MASTER_md.ajson,smart-env,304318,63,3012,False,
.smart-env/multi/characters_KAELEN-PROFILE-EXPANDED_md.ajson,smart-env,148608,44,1321,False,
.smart-env/multi/characters_KAIROS-INTEGRATION-GUIDE_md.ajson,smart-env,314259,62,2989,False,
.smart-env/multi/characters_KAIROS-QUANTUM-ANOMALY_md.ajson,smart-env,296002,58,2630,False,
.smart-env/multi/characters_KIRITO-TEST-REPORT_md.ajson,smart-env,65002,11,208,False,
.smart-env/multi/characters_main_aisen-korv_md.ajson,smart-env,419577,100,2541,False,
